#Default

; cutscenes.tbl

1, "Deep in the Ross 128 system, the GTA Installation Riviera picks up a
distress call from a Terran pilot.  A disbelieving communications
officer listens as the pilot frantically requests cover from
phantom attackers."

2, "Ancients 1"

3, "The Ancients discover subspace and begin their empire."

4, "Lab Experiment"

5, "A joint Terran-Vasudan science team conducts experiments
utilizing captured Shivan technology."

6, "Command Briefing"

7, "GTA Intelligence briefs pilots on a daring and important plan
to counter Shivan advancement."

8, "Ancients 2"

9, "Strange and powerful forces attack the Ancients."

10, "Hall Fight"

11, "A GTA boarding party attempts to neutralize forces in a captured Shivan
freighter."

12, "Ancients 3"

13, "The Ancients begin their final struggle."

14, "Ancients 4"

15, "The Ancients understand their destruction."

16, "Ancients 5"

17, "The Ancients discover a weakness in their dark enemies, but not in time
to save themselves."

18, "End Game"

19, "The Shivan superdestroyer almost makes it to the Sol system, but the Terran-Vasudan
forces emerge victorious."

; fs1_assets-shp.tbm

20, "The Orion is the capital ship of the GTA.  Measuring a frightening 2.1 kilometers in length, the cost to build one of these far outweighs the cost of paying the crew of this ship for three years.  There is no more important symbol of Terran pride than a ship like the Galatea or the Intrepid cruising past a colonized planet, patrolling the system and ensuring safety.  In the course of the fourteen-year war, very few of these have ever been lost, making the destruction of an Orion a truly horrible defeat."

; help.tbl

52, "Choose your ship type."

53, "Choose a new ship type by dragging"

54, "its icon over one of the available"

55, "wing slots."

56, "Revert to the original"

57, "ship distribution."

58, "When finished outfitting"

59, "all available wings,"

60, "you can go to the"

61, "weapons loadout screen"

62, "or enter the mission."

63, "Outfit your ship with weapons."

64, "Choose a ship."

65, "Drag and drop"

66, "primary or"

67, "secondary weapons to their"

68, "respective ship banks."

69, "When finished, commit"

70, "to the mission."

71, "Review your mission objectives."

72, "Click here to change"

73, "briefing stages."

74, "When done with briefing,"

75, "go to ship selection,"

76, "weapon loadout, or"

77, "start the mission."

78, "Create, modify, or"

79, "change pilots in"

80, "the Barracks."

81, "Choose a campaign"

82, "in the Campaign Room."

83, "Prepare for the"

84, "next mission in"

85, "the Ready Room."

86, "Exit the FreeSpace Port."

87, "Fly a simulated mission,"

88, "view a cutscene, see the"

89, "credits, or check specs"

90, "in the Tech Room."

91, "Configure your"

92, "settings in the"

93, "Options Screen."

94, "Press escape, F1, or click to remove help overlay"

95, "Create, modify, or select a pilot."

96, "Select a pilot"

97, "to clone, remove, convert,"

98, "or view stats."

99, "Select the desired"

100, "pilot image."

101, "Change the current control configuration."

102, "Choose the function to be reconfigured"

103, "or search for a function that is already"

104, "configured."

105, "Enter bind mode, then press"

106, "the new key or joystick button to"

107, "bind it to the selected function."

108, "Apply desired modifiers."

109, "Repeat as necessary."

110, "Receive your mission debriefing."

111, "View your mission stats."

112, "See advice on improving your performance."

113, "Create a multiplayer game."

114, "Filter the mission type."

115, "Accept or kick players"

116, "and assign them to teams (team mode)."

117, "Set further options or"

118, "start the game."

119, "Start a multiplayer game."

120, "Name your game."

121, "Select the game type."

122, "Start the game."

123, "Choose a game to join."

124, "Update the list to view newly formed games."

125, "Start your own game"

126, "or join as an observer."

127, "Assign hotkeys to important ships and wings."

128, "Press a hotkey (F5-F12)."

129, "Select a ship or wing"

130, "to add to or remove"

131, "from hotkey bindings."

132, "Choose a campaign from the list."

133, "Read the selected Campaign's description."

134, "Play the selected Campaign."

135, "Select a mission."

136, "Filter standalone missions or"

137, "missions that are in a campaign."

138, "Study technical data on all known GTA"

139, "and PVE ships and weaponry, as well"

140, "as historical and species information."

141, "View the next or previous data entry."

142, "Receive briefing information from GTA Command."

143, "Proceed to the mission briefing."

; medals.tbl

144, "For having attained an outstanding number of confirmed kills, you are hereby awarded the Ace."

145, "For your fine accomplishments as a skilled pilot and for your considerable number of enemy kills, it is an honor to present you the Double Ace."

146, "For your truly impressive ability as a pilot and for the exceptional number of confirmed enemy kills, it is a rare honor to present you the Triple Ace.  Few pilots are so distinguished."

; messages.tbl

147, "Is that the best they can do?"

148, "Radar's clean and clear."

149, "Glad that's over."

150, "Area secured."

151, "I think that's all of them."

152, "Radar is clear of hostile targets."

153, "Enemy wing just arrived!"

154, "Heads up, we have company!"

155, "Heads up, we've got visitors!"

156, "New bandits in the area!"

157, "New hostiles in the area!"

158, "Enemy presence detected."

159, "Incoming enemy targets."

160, "Enemy wing has just arrived!"

161, "Hostile targets entering the area."

162, "Breaking to attack!"

163, "Affirmative, sir.  Attacking your target!"

164, "Attacking your target!"

165, "Attacking now, sir."

166, "Target acquired."

167, "Breaking to attack."

168, "Reinforcements awaiting orders."

169, "Reinforcements here, sir.  Awaiting orders."

170, "Reinforcements here, sir."

171, "Beta wing has arrived.  Awaiting orders."

172, "Beta wing has arrived."

173, "Beta wing is on station.  Transmit orders."

174, "You've got a bogie on your tail!"

175, "Check your six, pilot!"

176, "Fighter on your tail, sir!"

177, "Watch your back, sir!"

178, "Enemy target is behind you!"

179, "Check your aft targeting sensors!"

180, "Aaaaaaaah!!!"

181, "Noooooooo!!!"

182, "Damn it!!"

183, "Nooooooooo!!!"

184, "Our flame will not be extinguished!"

185, "For the honor of Vasuda!"

186, "Delta wing has arrived.  Awaiting orders."

187, "Delta wing is on station."

188, "Yes sir.  Leaving battle area."

189, "I'm outta here."

190, "Subspace node activated."

191, "That's affirmative, sir.  Departing now."

192, "Roger, sir.  Entering subspace."

193, "Entering subspace."

194, "Affirmative.  Departing now."

195, "Departing field of engagement."

196, "Roger, disabling your target."

197, "Yes sir.  Disabling target."

198, "Affirmative, targeting the engine."

199, "Affirmative.  Targeting the engines."

200, "Orders received.  Targeting the engines."

201, "Affirmative, sir.  Disarming your target."

202, "Disarming target, sir."

203, "Roger, sir.  Disarming your target."

204, "Affirmative.  Disarming your target."

205, "Orders received.  Disarming your target."

206, "Engaging enemy."

207, "Engaging now, sir."

208, "Epsilon wing has arrived.  Awaiting orders."

209, "Epsilon wing has arrived."

210, "Epsilon wing is on station."

211, "Gamma wing has arrived.  Awaiting orders."

212, "Gamma wing has arrived."

213, "Gamma wing is on station."

214, "Taking damage!  Request cover!"

215, "Could one of you flyboys give me some cover?"

216, "Hull taking serious damage!"

217, "I'm losing systems!  Help me out!"

218, "Taking severe damage."

219, "Yes sir.  Disregarding target."

220, "Roger, sir.  Ignoring your target."

221, "Roger, disregarding your target."

222, "Yes sir.  Ignoring target."

223, "Ignoring target."

224, "Affirmative.  Disregarding your target."

225, "Sorry sir, I can't do that."

226, "Not here, sir."

227, "I cannot comply, sir."

228, "Cannot comply, sir."

229, "No can do, sir."

230, "I cannot do that."

231, "I cannot comply."

232, "Select a target, sir!"

233, "You have nothing targeted, sir."

234, "Which target, sir?"

235, "Target?  What target?"

236, "We require target data."

237, "Targeting data was not received."

238, "Cease firing on friendly craft!"

239, "Pilot, cease firing!"

240, "Aim at the hostiles, pilot!"

241, "That's a friendly ship, pilot."

242, "Cease firing on that ship, Terran!"

243, "Disregard that target!"

244, "You are firing on friendly targets, pilot."

245, "Cease firing!  That is not a hostile target!"

246, "Ship down!  Ship down!"

247, "Alpha 1, please respond!"

248, "We've lost Alpha 1!"

249, "Alpha 1 is down!"

250, "We've lost a friendly!"

251, "The blood you draw is your own!"

252, "One more passes beyond the veil."

253, "Great shot!"

254, "Good kill!"

255, "Impressive, pilot!"

256, "Excellent job, pilot!"

257, "Impressive, for a Terran."

258, "Objective neutralized!"

259, "I'm out of missiles!  Calling in a support ship!"

260, "I need to rearm!  Calling in a support ship!"

261, "I need to rearm.  Calling in some support."

262, "I need to rearm."

263, "I need to rearm.  Calling in support."

265, "Weapons depleted.  Calling for support."

266, "Sir, calling in for repair!"

267, "Taking heavy damage.  Need to repair."

268, "This crate's about to blow!  Calling in for support!"

269, "Sir, I need a repair ship."

270, "This crate's about to blow.  Calling in for repair!"

271, "Subsystems compromised.  Requesting repair."

272, "You're straying too far from mission objectives!"

273, "Where are you going, pilot?"

274, "Where are you going, Terran?"

275, "You appear to be off course, pilot."

276, "You'll pay for that, traitor!"

277, "You will pay for your treason, pilot!"

278, "You have tested our patience long enough, Terran!"

279, "Your treason will not go unpunished!"

280, "All Terran pilots, shoot to kill Alpha 1."

281, "All units, destroy the renegade pilot!"

282, "Affirmative, sir."

283, "I'm on it."

284, "Roger that, sir."

285, "Yes sir."

286, "Yes sir!"

287, "As you wish."

288, "Affirmative."

289, "Roger, sir.  On our way."

290, "Acknowledged.  Stand by to rearm."

291, "We're already on our way, sir."

292, "Support request confirmed.  Please stand by."

293, "Support ship being deployed."

294, "Support request acknowledged."

295, "Rearming complete, sir."

296, "Rearming procedure complete."

297, "Rearming sequence aborted."

298, "Rearming procedure terminated."

299, "Support has been destroyed."

300, "Alpha 1, you're all alone.  No reinforcements available."

301, "We cannot deploy any additional fighters, pilot.  You are on your own."

302, "Have you lost your mind?  Training is terminated, return to base."

303, "Pilot, do not fire upon your instructor!"

304, "You are ordered to return at once, pilot."

305, "Pilot, you are straying too far from the engagement zone."

306, "Pilot, you are being removed from battle because of your insubordination."

307, "Pilot, this is your final warning.  Return to your assigned coordinates."

308, "Weapons array diminished.  Calling in for support."

; rank.tbl

309, "Ensign"

310, "Dang, you're still an Ensign!  You must have gotten busted!"

311, "Lieutenant Junior Grade"

312, "Congratulations.  Your achievements have been noted and you are duly awarded the rank Lieutenant Junior Grade."

