#Default

; ships.tbl

20, "The Orion is the capital ship of the GTA.  Measuring a frightening 2.1 kilometers in length, the cost to build one of these far outweighs the cost of paying the crew of this ship for three years.  There is no more important symbol of Terran pride than a ship like the Galatea or the Intrepid cruising past a colonized planet, patrolling the system and ensuring safety.  In the course of the fourteen-year war, very few of these have ever been lost, making the destruction of an Orion a truly horrible defeat."

; zfs1_tech-wep.tbm

21, "Standard Terran Issue
Moderate Hull Damage
Low Power Usage"

22, "Standard Vasudan Issue
Moderate Hull Damage
Low Power Usage"

23, "Standard issue
Low Hull Damage
High Subsystem Damage
Tactical Weapon"

24, "Advanced Version
High Shield Damage
High Subsystem Damage
Tactical Weapon"

25, "Advanced Version
Moderate Shield Damage
High Subsystem Damage
Tactical Weapon"

26, "Special Issue
Moderate Hull Damage
Low Shield Damage
Projectile Weapon"

27, "Special Issue
Low Hull Damage
High Shield Damage
Kinetic Weapon"

28, "Prototype
High Hull Damage
Moderate Shield Damage
High Energy Usage"

29, "Advanced Prototype
High Hull Damage
High Shield Damage
High Energy Usage"

30, "Retrofit Weapon
Moderate Hull Damage
Low Shield Damage
High Energy Usage"

31, "Special Issue
Moderate Hull Damage
High Shield Damage
High Energy Usage"

32, "Prototype
Moderate Hull Damage
Moderate Shield Damage
High Velocity Weapon"

33, "Prototype
No Hull Damage
High Shield Damage
Moderate Energy Usage"

34, "Tactical Weapon
Low Hull Damage
Low Shield Damage
Drains Energy"

35, "Prototype
Moderate Hull Damage
Moderate Shield Damage
Shivan Derivative"

36, "Standard Issue
Heat Seeker
Moderate Damage
Fire and Forget"

37, "Standard Issue
Dumbfire
Low Damage
Maximum Compatibility"

38, "Standard Issue
Dumbfire
Low Damage
Twin Fire"

39, "Standard Issue
Fast Target Lock
Moderate Damage
Dogfighting Missile"

40, "Special Issue
Medium Target Lock
Moderate Damage
Swarm Missile"

41, "Special Issue
Slow Target Lock
Heavy Damage
Anti-Bomber Missile"

42, "Advanced Prototype
Medium Target Lock
Tactical Missile
Disrupts Subsystems"

43, "Special Issue
Area Effect
Low Damage
Fragmentation Warhead"

46, "Standard Issue
Heat Seeker
High Subsystem Damage
Tactical Weapon"

47, "Advanced Missile
Area Effect
Fast Target Lock
Electromagnetic Pulse"

48, "Standard Issue
Slow Target Lock
Anti-Matter Warhead
Anti-Cruiser Bomb"

49, "Special Issue
Requires Target Lock
Anti-Matter Warhead
Anti-Cruiser Bomb"

50, "Prototype
Requires Target Lock
Thermonuclear Warhead
Anti-Cruiser Bomb"

51, "Prototype
Requires Target Lock
Thermonuclear Warhead
Anti-Capital Ship Bomb"

; messages.tbl

147, "Is that the best they can do?"

148, "Radar's clean and clear."

149, "Glad that's over."

150, "Area secured."

151, "I think that's all of them."

152, "Radar is clear of hostile targets."

153, "Enemy wing just arrived!"

154, "Heads up, we have company!"

155, "Heads up, we've got visitors!"

156, "New bandits in the area!"

157, "New hostiles in the area!"

158, "Enemy presence detected."

159, "Incoming enemy targets."

160, "Enemy wing has just arrived!"

161, "Hostile targets entering the area."

162, "Breaking to attack!"

163, "Affirmative, sir.  Attacking your target!"

164, "Attacking your target!"

165, "Attacking now, sir."

166, "Target acquired."

167, "Breaking to attack."

168, "Reinforcements awaiting orders."

169, "Reinforcements here, sir.  Awaiting orders."

170, "Reinforcements here, sir."

171, "Beta wing has arrived.  Awaiting orders."

172, "Beta wing has arrived."

173, "Beta wing is on station.  Transmit orders."

174, "You've got a bogie on your tail!"

175, "Check your six, pilot!"

176, "Fighter on your tail, sir!"

177, "Watch your back, sir!"

178, "Enemy target is behind you!"

179, "Check your aft targeting sensors!"

180, "Aaaaaaaah!!!"

181, "Noooooooo!!!"

182, "Damn it!!"

183, "Nooooooooo!!!"

184, "Our flame will not be extinguished!"

185, "For the honor of Vasuda!"

186, "Delta wing has arrived.  Awaiting orders."

187, "Delta wing is on station."

188, "Yes sir.  Leaving battle area."

189, "I'm outta here."

190, "Subspace node activated."

191, "That's affirmative, sir.  Departing now."

192, "Roger, sir.  Entering subspace."

193, "Entering subspace."

194, "Affirmative.  Departing now."

195, "Departing field of engagement."

196, "Roger, disabling your target."

197, "Yes sir.  Disabling target."

198, "Affirmative, targeting the engine."

199, "Affirmative.  Targeting the engines."

200, "Orders received.  Targeting the engines."

201, "Affirmative, sir.  Disarming your target."

202, "Disarming target, sir."

203, "Roger, sir.  Disarming your target."

204, "Affirmative.  Disarming your target."

205, "Orders received.  Disarming your target."

206, "Engaging enemy."

207, "Engaging now, sir."

208, "Epsilon wing has arrived.  Awaiting orders."

209, "Epsilon wing has arrived."

210, "Epsilon wing is on station."

211, "Gamma wing has arrived.  Awaiting orders."

212, "Gamma wing has arrived."

213, "Gamma wing is on station."

214, "Taking damage!  Request cover!"

215, "Could one of you flyboys give me some cover?"

216, "Hull taking serious damage!"

217, "I'm losing systems!  Help me out!"

218, "Taking severe damage."

219, "Yes sir.  Disregarding target."

220, "Roger, sir.  Ignoring your target."

221, "Roger, disregarding your target."

222, "Yes sir.  Ignoring target."

223, "Ignoring target."

224, "Affirmative.  Disregarding your target."

225, "Sorry sir, I can't do that."

226, "Not here, sir."

227, "I cannot comply, sir."

228, "Cannot comply, sir."

229, "No can do, sir."

230, "I cannot do that."

231, "I cannot comply."

232, "Select a target, sir!"

233, "You have nothing targeted, sir."

234, "Which target, sir?"

235, "Target?  What target?"

236, "We require target data."

237, "Targeting data was not received."

238, "Cease firing on friendly craft!"

239, "Pilot, cease firing!"

240, "Aim at the hostiles, pilot!"

241, "That's a friendly ship, pilot."

242, "Cease firing on that ship, Terran!"

243, "Disregard that target!"

244, "You are firing on friendly targets, pilot."

245, "Cease firing!  That is not a hostile target!"

246, "Ship down!  Ship down!"

247, "Alpha 1, please respond!"

248, "We've lost Alpha 1!"

249, "Alpha 1 is down!"

250, "We've lost a friendly!"

251, "The blood you draw is your own!"

252, "One more passes beyond the veil."

253, "Great shot!"

254, "Good kill!"

255, "Impressive, pilot!"

256, "Excellent job, pilot!"

257, "Impressive, for a Terran."

258, "Objective neutralized!"

259, "I'm out of missiles!  Calling in a support ship!"

260, "I need to rearm!  Calling in a support ship!"

261, "I need to rearm.  Calling in some support."

262, "I need to rearm."

263, "I need to rearm.  Calling in support."

264, "Calling in for support."

265, "Weapons depleted.  Calling for support."

266, "Sir, calling in for repair!"

267, "Taking heavy damage.  Need to repair."

268, "This crate's about to blow!  Calling in for support!"

269, "Sir, I need a repair ship."

270, "This crate's about to blow.  Calling in for repair!"

271, "Subsystems compromised.  Requesting repair."

272, "You're straying too far from mission objectives!"

273, "Where are you going, pilot?"

274, "Where are you going, Terran?"

275, "You appear to be off course, pilot."

276, "You'll pay for that, traitor!"

277, "You will pay for your treason, pilot!"

278, "You have tested our patience long enough, Terran!"

279, "Your treason will not go unpunished!"

280, "All Terran pilots, shoot to kill Alpha 1."

281, "All units, destroy the renegade pilot!"

282, "Affirmative, sir."

283, "I'm on it."

284, "Roger that, sir."

285, "Yes sir."

286, "Yes sir!"

287, "As you wish."

288, "Affirmative."

289, "Roger, sir.  On our way."

290, "Acknowledged.  Stand by to rearm."

291, "We're already on our way, sir."

292, "Support request confirmed.  Please stand by."

293, "Support ship being deployed."

294, "Support request acknowledged."

295, "Rearming complete, sir."

296, "Rearming procedure complete."

297, "Rearming sequence aborted."

298, "Rearming procedure terminated."

299, "Support has been destroyed."

300, "Alpha 1, you're all alone.  No reinforcements available."

301, "We cannot deploy any additional fighters, pilot.  You are on your own."

302, "Have you lost your mind?  Training is terminated, return to base."

303, "Pilot, do not fire upon your instructor!"

304, "You are ordered to return at once, pilot."

305, "Pilot, you are straying too far from the engagement zone."

306, "Pilot, you are being removed from battle because of your insubordination."

307, "Pilot, this is your final warning.  Return to your assigned coordinates."

; rank.tbl

309, "Ensign"

310, "Dang, you're still an Ensign!  You must have gotten busted!"

311, "Lieutenant Junior Grade"

312, "Congratulations.  Your achievements have been noted and you are duly awarded the rank Lieutenant Junior Grade."

313, "Lieutenant"

314, "Per GTAR 64-2a you are hereby promoted to the rank of Lieutenant.  Congratulations."

315, "Lieutenant Commander"

316, "Congratulations.  Your achievements have been noted and you are duly awarded the rank of Lieutenant Commander."

317, "Commander"

318, "Because of your consistent sense of duty and obvious skill as a leader, you have been promoted to the rank of Commander."

319, "Captain"

320, "For displaying a commanding nature and the ability to lead others you are hereby promoted to Captain.  Congratulations!"

321, "Commodore"

322, "For outstanding service through the war, leading many successful missions, and promoting a sense of honor and pride in the Alliance you have been promoted to the rank of Commodore."

323, "Rear Admiral"

324, "We aren't sure how you've done it, but you are hereby promoted to the prestigious rank of Rear Admiral.  (We think you cheated.)"

325, "Vice Admiral"

326, "You really must have cheated to get this rank!  Do you want to sit behind a desk or something?  That is what Vice Admirals do."

327, "Admiral"

328, "You really have got to stop cheating.  This could become a natural thing for you... and that would be bad.  Go on Admiral Cheater, I think you have to perform some ceremony or inspection or something."

; ships.tbl

329, "Advanced Space Superiority"

330, "Excellent"

331, "Light"

332, "Triton Dynamics"

333, "Excellent all-around fighter.  Offers superior maneuverability and a high top speed.  Smaller missile payload than other GTA fighters."

334, "Developed in a joint operation by the Vasudan and Terran governments, the GTF Ulysses is an excellent all-around fighter.  It offers superior maneuverability and a high top speed."

335, "Space Superiority"

336, "Fair"

337, "Medium"

338, "Han-Ronald Corporation"

339, "Original space superiority fighter of the GTA fleet.  Highly versatile, it often doubles as an assault fighter.  Low weapon compatibility."

340, "The Apollo is the most common GTA fighter.  It is highly versatile and can perform multiple roles, including space superiority, interception and assault."

341, "Interceptor"

342, "Good"

343, "High speed recon and bomber-intercept fighter.  Offers high weapon compatibility and payload."

344, "Using the old GTF Angel scout fighter as a template, the GTA created the Valkyrie interceptor fighter.  It has two additional engines, as well as an additional set of primary hardpoints.  This makes the Valkyrie the best bomber interceptor in the fleet.  Its speed is unmatched in the GTA, and its maneuverability is above average.  Its only drawbacks are a small secondary payload and a weak hull."

345, "Heavy Assault"

346, "Average"

347, "Low max velocity offset by its tremendous offensive capabilities.  High weapon capacity."

348, "The Hercules is the slowest and most unmanageable fighter in the fleet.  This is offset, however, by its overpowering weaponry and shielding.  It carries six primary weapons, as well as two full secondary banks.  This heavy assault fighter is best suited for small target attacks and bomber escort."

351, "Low"

356, "Light Bomber"

357, "Dynamic Metamer"

358, "Excellent for hit-and-run bombing.  Good speed for its size, with a high capacity afterburner reserve."

359, "The smallest bomber in the fleet, the Athena has oftentimes been mistaken for a fighter.  However, one should not be fooled by its small size.  The Athena can carry light bombs and most missiles.  It also has the ability to dogfight well.  Its strong shielding and hull make it the favored ''Lightning Bomber'' of the GTA."

361, "Poor"

364, "Heavy Bomber"

365, "Heavy"

366, "Suitable for any size target.  Carries most missile types, but few cannons.  Armed with defensive turret, but still requires escort."

367, "The Medusa is the standard attack bomber in the GTA.  Its strong shielding and large secondary capacity make it the favored attack craft against cruiser class targets.  As the first bomber to carry the Tsunami bomb, the Medusa is considered the staple of any bomber pilot's career."

368, "Assault Bomber"

369, "Very Poor"

370, "Designed to annihilate capital ships and cruisers.  Slow, but offers unparalleled assault bombing capability."

371, "The Ursa is the first bomber designed specifically for the purpose of annihilating capital ships.  It carries a massive payload and is the only bomber in the GTA which can equip the Harbinger bomb.  Strong shielding and hull make the Ursa very difficult to destroy."

372, "The Amazon is a simple drone, used for basic combat training.  They are unmanned, and carry only the weakest of weaponry."

373, "The Advanced Amazon is a larger drone, used by the GTA for subsystem and large target training.  They are unmanned and inexpensive."

374, "The Centaur support ship is designed to get in and out of battle as quickly as possible.  It is fast and quite maneuverable, allowing it to dock with fighters in a minimum amount of time.  Most notable about the Centaur, however, is its extremely large explosion radius.  The amount of warheads carried on a support ship makes it very dangerous to be close to an exploding Centaur."

375, "Since the start of space colonization, this standard transport has been used by everyone, both civilian and military.  While it has undergone minor changes time and again, it remains a simple design: a vehicle meant to transport personnel from one place to another."

381, "The Poseidon is the standard military freighter in the GTA.  It is designed to protect its cargo from any kind of attack, and has four turrets with which to do so."

382, "The TC 2 is the standard issue cargo container in the GTA for deep space cargo transport.  It has all the electronics and systems needed to preserve any cargo within it at whatever conditions are necessary.  TC 2s are cheap to manufacture and are heavily used throughout the Alliance."

383, "The TSC 2 was developed when Terran Command decided it needed a stronger and more secure cargo container for use in military operations.  It improves on the established TC 2 design by sacrificing a small amount of internal space for a significantly stronger hull.  Although it is still not as strong as the TAC 1, the TSC 2 is usually the GTA's container of choice for cargo with military value."

384, "The TTC 1 is another example of civilian equipment used by the GTA League of Defense.  It is primarily a tech container used for research purposes, especially zero-G development operations.  It is not very strong, however, and is often a target of enemy attacks."

385, "The Chronos is a freighter of civilian design.  As the Terran-Vasudan war dragged on, more and more of these vessels were commissioned by the GTA for use in military operations.  These vessels are slow but strong."

386, "The TAC 1 (called the TacOne by most pilots) is a heavily armored container, usually used for carrying volatile or dangerous substances.  It is also the preferred supply container for use in front-line operations."

387, "The mainstay of the Terran fleet, these vessels have served in both strike and defense purposes.  From bow to stern a Fenris measures 260 meters.  With a full array of weapon systems and a strong enough hull to withstand the strongest enemy warheads, a Fenris cruiser can be found in almost any system that the GTA is operating in.  The Fenris was originally designed as a strike weapon, hence its fast speed and decent turning rate.  It was later decided that a second line of cruisers would be produced, for defensive purposes, once it became apparent that the T-V war wouldn't be over in a few months."

388, "After the Vasudans began making incursions into GTA space, Command decided that it needed a new defensive cruiser.  Changes to the Fenris led to the GTC Leviathan line of cruisers, produced as mobile defense battleships.  Their speed and maneuverability were greatly reduced in tradeoff for more powerful weapons and a stronger hull.  Production was discontinued when the GTA thought they would win the Vasudan war after the Battle of Gulnara, and then production was started up again after the defeat at the Talania system.  Because of the on-again off-again nature of this vessel's production, almost all Leviathan cruisers have different armaments, but all have consistent hulls and speeds."

389, "The Faustus science vessel was, and still is, a civilian craft.  However, in the fourteen years since the Terran-Vasudan war began, more and more of these were commissioned by the GTA in order to pursue military research.  Its obvious value, poor fighting capabilities, and lack of speed make it a prime target for enemy ships, hence, you will rarely find many of these anywhere near the front lines of battle."

392, "Early Terran space stations were constructed much smaller, and were mostly used for zero-G research purposes.  Later on, with advancements in space construction technologies, stations grew bigger and bigger.  When the first Arcadia-class station was commissioned, GTA decided to reclassify it as an installation rather than a space station.  Used for a variety of purposes, almost all major systems are home to at least one installation, which is often used as the center of trade and communications.  Home to scores of small ships, including repair vessels, fighters, and transports, an Arcadia-class installation is always a safe haven for a convoy of attack ships, returning from battle.  Where the Orion is the symbol of Terran power, the Arcadia is the shining beacon of stability."

394, "Asteroid bases such as these are used by both civilian and military contractors to mine resources and conduct experiments."

395, "The Terran NavBuoy is widely used in both civilian and military fields.  It stores precalculated jump coordinates and other navigational data for use by Terran convoys, and it is also capable of acting as a communications relay."

396, "The Watchdog is the standard unmanned defensive sentry turret for the GTA.  It fires two standard plasma bursts at any nearby hostile targets."

397, "The Cerberus is an advanced version of the Watchdog, with stronger weaponry and the ability to withstand more damage."

398, "The Hermes escape pod has been used since the destruction of the GTD Goliath over twelve years ago.  They are used by the crews of destroyers and installations to escape destruction.  It is always best to be prepared."

399, "Mekhu/Triton"

400, "Excellent all-around fighter.  Offers superior maneuverability and a high top speed.  Smaller missile payload than other PVN fighters."

401, "Developed in a joint operation by the Vasudan and Terran governments, the PVF Ulysses is an excellent all-around fighter.  It offers superior maneuverability and a high top speed.

The PVF Ulysses is nearly identical to the GTF Ulysses, except that the Vasudan variant can accommodate Vasudan pilots in its cockpit."

402, "Light Skirmish"

403, "Mekhu Enterprises"

404, "Lowest power Vasudan craft.  Offers little in the way of offensive or defensive capabilities.  Best used in swarm situations."

405, "The Anubis is the weakest fighter in the Vasudan navy.  However, these fighters are extremely cheap to manufacture, and are often used in swarm situations to try to overwhelm the opponent with numbers.  A few radical Vasudans have been known to load these ships with explosives and attempt to steer themselves into GTA capital ships.  The first occurrence of this was the battle of Rexias IV, where the GTD Goliath was destroyed by a squadron of kamikaze pilots.

Due to its lack of afterburners and low weapon capacity, the GTA has classified the Anubis as a class D threat."

406, "Heavy Fighter"

407, "Slow and sluggish, but heavily armored.  Has high afterburner speed.  Useful for hit and run attacks.  High payload capacity."

408, "As the slowest fighter in the PVN, the Seth has earned itself a reputation as the turtle of the Vasudan fleet.  Even though it is quite compact in size, the Seth can carry a massive payload and has a lot of shielding.  Its standard impulse engines aren't very powerful, but the Seth gains an incredible speed boost when using its afterburners.  The Seth is primarily used in convoy attacks and capital ship escort duties.

The GTA considers the PVF Seth to be a class C threat."

409, "Very Good"

410, "Akheton Corporation"

411, "Extremely fast with good weapons compatibility.  Very useful in any kind of engagement."

412, "The Horus interceptor can outrun any ship in the PVN or the GTA.  This makes it extremely dangerous.  Its above average weapons capacity, combined with its good maneuverability and shielding, make this one of the most well-designed interceptors in the galaxy.  This ship is responsible for the destruction of more GTA bombers than any other.

