#Default

; weapons.tbl

146, "Subach HL-7"

; messages.tbl

1078, "Heads up! Enemy wing closing in!"

1079, "Bandits incoming!"

1080, "We've got company!"

; cutscenes.tbl

2603, "Thirty-two years have passed since the Great War, and a new generation has come of age."

2604, "Introducing the GTVA Colossus, the largest space-faring warship ever constructed."

2605, "Admiral Bosch, the NTF Supreme Commander, reflects upon the legacy of the Ancients."

2606, "Following NTF defeats in Epsilon Pegasi and Sirius, Bosch reconsiders his strategy."

2607, "Lost in the nebula beyond the Knossos portal, Bosch questions the wisdom of his actions."

2608, "His crusade vindicated, Bosch prepares for his second rendezvous with the Shivans."

2609, "Packed with meson warheads, the GTD Bastion self-destructs and seals off the Epsilon Pegasi jump node."

2610, "Generating a powerful subspace disturbance, the Shivan juggernauts trigger a supernova."

2611, "Admiral Petrarch addresses the crew of the Aquitaine, relating news of the GTVA's success."

2612, "Admiral Petrarch addresses the 70th Blue Lions, relating news of Alpha 1's demise."

; medals.tbl

2722, "For your excellent record of confirmed kills, you have achieved the status of Ace."

2723, "For your outstanding record of confirmed kills, you have achieved the status of Double Ace."

2724, "For your extraordinary record of confirmed kills, you have achieved the status of Triple Ace."

; messages.tbl

2725, "Command, we have secured the area."

2726, "All hostiles are down. Area secure."

2727, "All clear, Command."

2728, "Area is secure."

2729, "Bandits neutralized. All clear."

2730, "All enemy forces negated."

2731, "All hostile targets neutralized."

2732, "IFF confirmed! Hostiles inbound!"

2733, "Hostiles approaching fast!"

2734, "Reading hostile indicators."

2735, "Enemy wing inbound."

2736, "Incoming jump signature! Hostile configuration!"

2737, "Roger that, sir. Engaging your target."

2738, "Yes, sir! We'll take em down!"

2739, "Breaking to attack."

2740, "I've got em in my sights!"

2741, "Target acquired."

2742, "Affirmative. We will destroy your target."

2743, "Commencing attack on your target."

2744, "Reinforcements on station. Request status brief."

2745, "Reinforcements here. Standing by for orders."

2746, "Sir, reinforcements are now in position!"

2747, "The cavalry has arrived, sir."

2748, "Reinforcements have arrived. Awaiting orders."

2749, "We are here to assist. What is your status?"

2750, "We will reinforce your wing. Please transmit orders."

2751, "Beta wing here. Standing by."

2752, "This is Beta wing. What's your status?"

2753, "Beta wing now in position."

2754, "Beta wing has arrived. Awaiting orders."

2755, "Beta wing here. We're now in system, Command!"

2756, "Beta wing is on station."

2757, "This is Beta wing. Standing by for orders."

2758, "Check your six!"

2759, "Bandit on your tail!"

2760, "Watch your back, pilot!"

2761, "Behind you, pilot!"

2762, "On your six! On your six!"

2763, "Take evasive action, pilot!"

2764, "Bandit at six o'clock!"

2765, "Noooooooo!!!"

2766, "Aaaaaaaah!!!"

2767, "Help me!!!"

2768, "Mayday! Mayday!"

2769, "I'm going down! I'm going down!"

2770, "Avenge me!"

2771, "Long live the Emperor!"

2772, "This is Delta wing. What's your status?"

2773, "Delta wing now in position."

2774, "Delta wing now on station. Awaiting orders."

2775, "This is Delta wing. Give us a target, sir!"

2776, "Delta wing here. Standing by."

2777, "Delta wing is ready to assist, pilot."

2778, "This is Delta wing. What is your command?"

2779, "Yes, sir! I'm outta here!"

2780, "You don't have to tell me twice!"

2781, "Roger that, sir. See you back home."

2782, "Right away, sir. Jump drive engaged."

2783, "Acknowledged. Returning to base now."

2784, "We are departing as ordered."

2785, "Returning to base."

2786, "I copy. Engaging jump drive now."

2787, "Departing field of engagement."

2788, "We are departing as ordered."

2789, "Roger that, sir. Disabling your target."

2790, "Yes, sir! Targeting engines now!"

2791, "Acquiring lock on engines."

2792, "I copy that. Disabling your target now."

2793, "Roger that. We'll knock out those engines for you, sir!"

2794, "Affirmative. Disabling your target."

2795, "Acknowledged. Engine subsystem targeted."

2796, "Yes, sir! Targeting weapons now!"

2797, "Target data received. Acquiring lock."

2798, "I copy, sir. Disarming your target."

2799, "I'm on it."

2800, "Roger that, sir. Disarming target now."

2801, "Acknowledged. Weapon subsystem targeted. "

2802, "I copy. Neutralizing weapons."

2803, "Roger that."

2804, "Yes, sir! Breaking to attack!"

2805, "Engaging enemy now, sir."

2806, "With pleasure, sir."

2807, "I'm on it, sir."

2808, "By your command. Engaging enemy."

2809, "Breaking to attack."

2810, "Epsilon wing now on station."

2811, "Epsilon has arrived in system. Awaiting orders."

2812, "Epsilon here. Ready to engage!"

2813, "Epsilon here. Standing by."

2814, "This is Epsilon wing. What's your status?"

2815, "Epsilon wing standing by. Transmit orders."

2816, "This is Epsilon. We are in position. Requesting orders."

2817, "Gamma wing has arrived. Awaiting orders."

2818, "Gamma here. Ready to assist."

2819, "Gamma wing is standing by."

2820, "This is Gamma wing. What's your status?"

2821, "Gamma is now in system."

2822, "This is Gamma wing. Please transmit orders."

2823, "Gamma wing on station."

2824, "Hull integrity failing! Get me out outta here, Command!"

2825, "I can't hold them off much longer!"

2826, "Get this bandit off me!"

2827, "Cover me! Cover me!"

2828, "This crate's gonna blow!"

2829, "Sustained critical damage. Hull failure imminent."

2830, "Systems are failing. Please assist."

2831, "Yes, sir!"

2832, "All yours, sir. Good luck!"

2833, "Hope you know what you're doing, sir."

2834, "Ignoring your target."

2835, "Knock yourself out, sir."

2836, "Disregarding your target."

2837, "By your command. The kill is yours."

2838, "No can do, sir."

2839, "Sorry, sir. Unable to comply."

2840, "Not a chance, pilot."

2841, "With all due respect, sir, you're out of line."

2842, "That's an invalid order, pilot."

2843, "Negative. I cannot execute your command."

2844, "I will not perform that action."

2845, "Sorry, sir. I am unable to acquire your target."

2846, "Confirm your target, pilot. I can't get a reading."

2847, "Say again, sir?"

2848, "Target? What target?"

2849, "And what target would that be, sir?"

2850, "Your target data is invalid."

2851, "You must specify a target."

2852, "Whose side are you on, pilot?"

2853, "Don't make me hurt you, pilot!"

2854, "You got a problem with your IFF, sir?"

2855, "Back off, pilot! You're out of line!"

2856, "You think that's funny?"

2857, "Disengage, pilot!"

2858, "Constrain your actions, pilot."

2859, "Invalid target! Hold your fire!"

2860, "Pilot down! Pilot down!"

2861, "Squad lost a pilot!"

2862, "Squadmate down!"

2863, "We've lost a pilot!"

2864, "Friendly down!"

2865, "Friendly neutralized!"

2866, "No sorrow but vengeance."

2867, "Objective neutralized!"

